Name,Dates associated with name,Type of name,Role,Other names,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
"Aaron, Jason",,person,author,"Brown, Garry, 1981-, artist [person] ; Aaron, Jason, author [person] ; Asrar, Mahmud A., artist [person]",020034147,Monograph,Language material ; Still image ; Text,Volume,GBC0J2524,9781302926526,Conan the barbarian,,,,United States of America,New York,Marvel Worldwide,2021,,"1 volume, chiefly illustrations, 28 cm",741.5,,"Conan, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Brubaker, Ed, author [person] ; Aaron, Jason, author [person] ; Waid, Mark, 1962-, author [person]",017048844,Monograph,Language material ; Still image ; Text,Volume,GBB517447,9780785154914,Original sin,,,,United States of America,New York,Marvel,2015,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Avengers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Caselli, Stefano, artist [person] ; Aaron, Jason, author [person]",019568518,Monograph,Language material ; Still image ; Text,Volume,GBB9G7017,9781302914622,Avengers. Vol. 4,,,,United States of America,New York,Marvel Worldwide,2019,,"1 volume, illustrations, 26 cm",741.5,,"Avengers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Caselli, Stefano, artist [person] ; Aaron, Jason, author [person]",019633727,Monograph,Language material ; Still image ; Text,Volume,GBB9J4854,9781302920937,Challenge of the ghost riders,,Avengers,5 [Avengers],United States of America,New York,Marvel Worldwide,2020,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Avengers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Cassaday, John, artist [person] ; Aaron, Jason, author [person] ; Immonen, Stuart, artist [person]",017911377,Monograph,Language material ; Still image ; Text,Volume,GBB690438,9781302900984,Star Wars. Vol. 1,,,,United States of America,New York,Marvel Worldwide,2016,,"1 volume, chiefly illustrations, 28 cm",741.5,,,Science fiction,English,
"Aaron, Jason",,person,author,"Cassaday, John, artist [person] ; Aaron, Jason, author [person]",017435197,Monograph,Language material ; Still image ; Text,Volume,GBB588760,9780785192138,Skywalker strikes,,Star Wars,1 [Star Wars],United States of America,New York,Marvel Worldwide,2015,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Science fiction,English,
"Aaron, Jason",,person,author,"Cheung, Jim, artist [person] ; Aaron, Jason, author [person] ; Waid, Mark, 1962-, author [person]",016855672,Monograph,Language material ; Still image ; Text,Volume,GBB492830,9780785190691,Original sin,,,,United States of America,New York,Marvel,2014,,"1 volume, chiefly colour illustrations, 28 cm",741.5,,,Science fiction,English,
"Aaron, Jason",,person,author,"Coipel, Olivier, artist [person] ; Aaron, Jason, author [person]",018285878,Monograph,Language material ; Still image ; Text,Volume,GBB760533,9781302906672,The unworthy Thor. Vol. 1,,,,United States of America,New York,Marvel Worldwide,2017,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Aaron, Jason, author [person] ; Garres, Rafa, artist [person]",017999584,Monograph,Language material ; Still image ; Text,Volume,GBB6C3138,9780785195238,Mighty Thor. Vol. 2,,,,United States of America,New York,Marvel Worldwide,2016,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Aaron, Jason, author [person] ; Garres, Rafa, artist [person]",018365828,Monograph,Language material ; Still image ; Text,Volume,GBB791389,9780785199663,Lords of Midgard,,The mighty Thor,2 [The mighty Thor],United States of America,New York,Marvel Worldwide,2017,,"1 volume, chiefly illustrations",741.5,,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Aaron, Jason, author [person] ; Molina, Jorge, 1984-, artist [person]",017652235,Monograph,Language material ; Still image ; Text,Volume,GBB5H3962,9780785192398,Goddess of Thunder,,Thor,1 [Thor],United States of America,New York,Marvel Worldwide,2016,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Aaron, Jason, author [person] ; Molina, Jorge, 1984-, artist [person]",018457691,Monograph,Language material ; Still image ; Text,Volume,GBB8D2978,,Thor. The Goddess of Thunder,Goddess of Thunder,The Ultimate Graphic Novels Collection,104 [The Ultimate Graphic Novels Collection],England,London,Hachette,2017,Special edition,"118 unnumbered pages, chiefly colour illustrations, 27 cm",741.5973,YKL.2018.b.3894,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,"Originally Published: New York : Marvel, 2015"
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Aaron, Jason, author [person] ; Sauvage, Marguerite, artist [person]",017911374,Monograph,Language material ; Still image ; Text,Volume,GBB690435,9781302900670,Thor,,,,United States of America,New York,Marvel Worldwide,2016,,"1 volume, chiefly illustrations, 28 cm",741.5,,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Aaron, Jason, author [person]",017094470,Monograph,Language material ; Still image ; Text,Volume,GBB528913,9780785192381,Goddess of Thunder,,Thor,1 [Thor],United States of America,New York,Marvel,2015,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thor (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Aaron, Jason, author [person]",017183046,Monograph,Language material ; Still image ; Text,Volume,GBB557476,9780785197843,Who holds the hammer?,,Thor,2 [Thor],United States of America,New York,Marvel,2015,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thor (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Aaron, Jason, author [person]",017184180,Monograph,Language material ; Still image ; Text,Volume,GBB558610,9781846536830,Thor. Who holds the hammer?,Who holds the hammer,,,England,Tunbridge Wells,Panini,2015,,"132 unnumbered pages, chiefly colour illustrations, 26 cm",741.5973,YKL.2016.b.3024,"Thor (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Aaron, Jason, author [person]",018092626,Monograph,Language material ; Still image ; Text,Volume,GBB6F0532,9780785199656,Thunder in her veins,,The mighty Thor,,United States of America,New York,Marvel Worldwide,2017,,"1 volume, chiefly colour illustrations, 23 cm",741.5,,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,Originally published: 2016
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Aaron, Jason, author [person]",018550292,Monograph,Language material ; Still image ; Text,Volume,GBB7J1972,9781302903800,Thor by Jason Aaron & Russell Dauterman. Vol. 2,,,,United States of America,New York,Marvel Worldwide,2017,,"1 volume, chiefly illustrations, 28 cm",741.5,,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Aaron, Jason, author [person]",018589948,Monograph,Language material ; Still image ; Text,Volume,GBB7L0033,9781302906580,The Mighty Thor. Vol. 4,,,,United States of America,New York,Marvel Worldwide,2018,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Aaron, Jason, author [person]",019427465,Monograph,Language material ; Still image ; Text,Volume,GBB9A1007,9781302914691,War of the realms,,,,United States of America,New York,Marvel Worldwide,2019,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Thor, (Fictitious character from Marvel Comics Group)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Aaron, Jason, author [person]",019496675,Monograph,Language material ; Still image ; Text,Volume,GBB9D5864,9781846539886,The war of the realms,,,,England,"Tunbridge Wells, Kent",Panini Publishing,2019,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5,,"Thor, (Fictitious character from Marvel Comics Group)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Epting, Steve, artist [person] ; Aaron, Jason, author [person]",018731172,Monograph,Language material ; Still image ; Text,Volume,GBB828219,9781302903091,Lords of Midgard,,The mighty Thor,3 [The mighty Thor],United States of America,New York,Marvel Worldwide,2018,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Epting, Steve, artist [person] ; Aaron, Jason, author [person]",019280851,Monograph,Language material ; Still image ; Text,Volume,GBB941353,9781302917388,Thor. Volume 3,,,,United States of America,New York,Marvel Worldwide,2019,,"1 volume, chiefly illustrations, 28 cm",741.5,,"Thor, (Fictitious character from Marvel Comics Group)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Irving, Frazer, artist [person] ; Aaron, Jason, author [person] ; Garres, Rafa, artist [person]",018001560,Monograph,Language material ; Still image ; Text,Volume,GBB6C5114,9781846537462,Lords of Midgard,,The mighty Thor,6 [The mighty Thor],England,"Tunbridge Wells, Kent",Panini Publishing,2016,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5,YKL.2018.b.13,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, artist [person] ; Simonson, Walter, artist [person] ; Aaron, Jason, author [person]",018828724,Monograph,Language material ; Still image ; Text,Volume,GBB865923,9781302906603,Mighty Thor. Volume 5,,,,United States of America,New York,Marvel Worldwide,2018,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Dauterman, Russell, illustrator [person] ; Epting, Steve, illustrator [person] ; Aaron, Jason, author [person]",018332417,Monograph,Language material ; Still image ; Text,Volume,GBB777391,9781846538148,The mighty Thor. Vol. 3. The Asgard/Shi'ar war,,,,England,"Tunbridge Wells, Kent",Panini Publishing,2017,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2018.b.4692,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Del Mundo, Mike, artist [person] ; Aaron, Jason, author [person]",017576547,Monograph,Language material ; Still image ; Text,Volume,GBB5E8639,9780785198918,Weirdworld,,,,United States of America,New York,Marvel Worldwide,2015,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,,Science fiction,English,
"Aaron, Jason",,person,author,"Del Mundo, Mike, artist [person] ; Aaron, Jason, author [person]",019494831,Monograph,Language material ; Still image ; Text,Volume,GBB9D4020,9781302914455,Thor. Volume 3,,,,United States of America,New York,Marvel Worldwide,2019,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thor, (Fictitious character from Marvel Comics Group)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Deodato, Mike, artist [person] ; Aaron, Jason, author [person]",018387785,Monograph,Language material ; Still image ; Text,Volume,GBB8B3922,,Original sin. Part two,,The ultimate graphic novels collection Marvel,99 [The ultimate graphic novels collection Marvel],England,London,Hachette,2017,Special edition,"184 unnumbered pages, chiefly colour illustrations, 27 cm",741.5973,YKL.2018.b.3340,,Science fiction,English,"Originally published: Tunbridge Wells : Panini, 2014"
"Aaron, Jason",,person,author,"Dillon, Steve, artist [person] ; Aaron, Jason, author [person]",016683120,Monograph,Language material ; Still image ; Text,Volume,GBB438136,9780785154297,Punisher max,,,,United States of America,New York,Marvel,2014,,"1 volume, chiefly illustrations, 28 cm",741.5,,"Punisher (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Dillon, Steve, artist [person] ; Palo, Jefte, artist [person] ; Aaron, Jason, author [person]",016303618,Monograph,Language material ; Still image ; Text,Volume,GBB326719,9780785161134,Incredible Hulk. Volume 2,,,,United States of America,New York,Marvel,2013,,"1 volume, chiefly illustrations, 28 cm",741.5,,"Hulk, (Fictitious character)--Comic book, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Epting, Steve, artist [person] ; Aaron, Jason, author [person]",018366196,Monograph,Language material ; Still image ; Text,Volume,GBB791757,9781302903084,Asgard/Shi'ar war,,The mighty Thor,3 [The mighty Thor],United States of America,New York,Marvel Worldwide,2017,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Ewing, Al, artist [person] ; Gronbekk, Torunn, author [person] ; Aaron, Jason, author [person]",019970301,Monograph,Language material ; Still image ; Text,Volume,GBC0F3525,9781302925932,Valkyrie. Volume 3,,,,United States of America,New York,Marvel Worldwide,2020,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Foster, Jane, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Ewing, Al, author [person] ; Aaron, Jason, author [person]",019756952,Monograph,Language material ; Still image ; Text,Volume,GBC046279,9781302920302,Valkyrie. Volume 2,,,,United States of America,New York,Marvel Worldwide,2020,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Fantasy,English,
